no_matricula_inmobiliaria;estado_folio;matriculas_matriz;matriculas_derivadas
1037760;ACTIVO;365235;20258246
1038579;ACTIVO;911314;
1043513;ACTIVO;1036049;20232465
1043513;ACTIVO;1036049;20232466
1043513;ACTIVO;1036049;20232467
1043513;ACTIVO;1036049;20232468
1043513;ACTIVO;1036049;20232469
1043513;ACTIVO;1036049;20232470
1043513;ACTIVO;1036049;20232471
1043513;ACTIVO;1036049;20232472
1043513;ACTIVO;1036049;20232473
1043513;ACTIVO;1036049;20232474
1043513;ACTIVO;1036049;20232475
1043513;ACTIVO;1036049;20232476
1043513;ACTIVO;1036049;20934617
1045349;CERRADO;979497;1045350
1045945;ACTIVO;161332;
1055416;CERRADO;861764;20436683
1055416;CERRADO;861764;20437412
1055417;CERRADO;861764;20436684
1055417;CERRADO;861764;20437412
1060506;ACTIVO;341524;20412552
1060506;ACTIVO;341524;20412553
1062595;ACTIVO;740162;20253287
1062596;CERRADO;740162;
1086877;ACTIVO;711518;
1091626;ACTIVO;486308, 851920;
1120156;ACTIVO;252535;20112768
1159069;ACTIVO;410985;20316486
1159069;ACTIVO;410985;20316487
1159069;ACTIVO;410985;20316488
1159086;CERRADO;13440, 1120732;
1184796;ACTIVO;718734;20275341
1184796;ACTIVO;718734;20275342
1188820;ACTIVO;882536, 882538;20068005
1188820;ACTIVO;882536, 882538;20075213
1188820;ACTIVO;882536, 882538;20075881
1188820;ACTIVO;882536, 882538;20076740
1188820;ACTIVO;882536, 882538;20076748
1188820;ACTIVO;882536, 882538;20077768
1190974;ACTIVO;1130453, 1130458;
1191004;ACTIVO;1130453, 1130458;
1191006;ACTIVO;67448, 1130453, 1130458;
1191037;ACTIVO;795878, 1130453;
1191038;ACTIVO;795878, 1130453;
1191039;ACTIVO;795878, 1130453;
1191045;ACTIVO;1130453, 1130458;
1191047;ACTIVO;1130453, 1130458;
1191100;ACTIVO;1130453, 1130458;
1192887;ACTIVO;740162;20253287
1193399;ACTIVO;797050, 1193394;
1193415;ACTIVO;1193394;
1193454;ACTIVO;177900, 1193394;
1193457;ACTIVO;1183878, 1193394;20055589
1193457;ACTIVO;1183878, 1193394;20127233
1193474;ACTIVO;1193394;
1193481;ACTIVO;1193394;1202139
1193481;ACTIVO;1193394;1208089
1193483;ACTIVO;1193394;
1193497;ACTIVO;562202, 1193394;
1193498;ACTIVO;562202, 1193394;
1193512;ACTIVO;562202, 740670, 1193394;
1193513;ACTIVO;562202, 740670, 1193394;
1193514;ACTIVO;562202, 740670, 1193394;
1193515;ACTIVO;562202, 740670, 1193394;
1193516;ACTIVO;562202, 740670, 1193394;
1193517;ACTIVO;562202, 740670, 1193394;
1193526;ACTIVO;562202, 673422, 1193394;20052916
1193526;ACTIVO;562202, 673422, 1193394;20081536
1193526;ACTIVO;562202, 673422, 1193394;20563720
1193527;ACTIVO;562202, 673422, 1193394;
1193600;ACTIVO;198832, 1193394;
1193628;ACTIVO;1193394;1202272
1193637;CERRADO;366145, 1193394;1193641
1193640;CERRADO;362136, 1193394;1193641
1193646;ACTIVO;1193394;20333933
1193646;ACTIVO;1193394;20333934
1193649;ACTIVO;1193394;20222007
1193649;ACTIVO;1193394;20230456
1193649;ACTIVO;1193394;20230458
1193649;ACTIVO;1193394;20230461
1193649;ACTIVO;1193394;20230463
1193649;ACTIVO;1193394;20305910
1193888;ACTIVO;510159, 546048, 1193394;
1193897;ACTIVO;396915, 510159, 1141997, 1193394;
1195072;ACTIVO;646617;20482020
1195075;ACTIVO;646617;20485940
1195076;ACTIVO;646617;20485940
1195077;ACTIVO;646617;20485940
1195078;ACTIVO;646617;20485940
1198259;ACTIVO;1198247, 1198249, 1198250, 1198251;
1203068;ACTIVO;486308;20094522
1203068;ACTIVO;486308;20231570
1203068;ACTIVO;486308;20262564
1203068;ACTIVO;486308;20287562
1203068;ACTIVO;486308;20291048
1203068;ACTIVO;486308;20340543
1203068;ACTIVO;486308;20343223
1203068;ACTIVO;486308;20352954
1203068;ACTIVO;486308;20441978
1203068;ACTIVO;486308;20462322
1203068;ACTIVO;486308;20462323
1203068;ACTIVO;486308;20462324
1203068;ACTIVO;486308;20462325
1203068;ACTIVO;486308;20462326
1203068;ACTIVO;486308;20462327
1203068;ACTIVO;486308;20462328
1210383;ACTIVO;575565;
1212544;ACTIVO;991678;1212545
1212544;ACTIVO;991678;1212546
1216806;ACTIVO;161332;20337798
