no_matricula_inmobiliaria;estado_folio;matriculas_matriz;matriculas_derivadas
1001539;ACTIVO;676148;
1001917;ACTIVO;85684;
1002685;ACTIVO;590976;
1004082;ACTIVO;503385;
1004585;ACTIVO;907651;
1005110;ACTIVO;;
1005406;ACTIVO;880997;20028305
1005407;ACTIVO;880997;20439116
1005407;ACTIVO;880997;20439117
1005408;ACTIVO;880997;
1005420;ACTIVO;113068;
1005821;ACTIVO;127871;
1007115;ACTIVO;333215;20445041
1007116;ACTIVO;333215;20445042
1007117;ACTIVO;333215;
1007118;ACTIVO;333215;20445043
1007681;ACTIVO;952808;
1008519;CERRADO;;20730555
1008990;ACTIVO;29552, 1008972;
1011486;ACTIVO;277552;
1011487;ACTIVO;277552;20446111
1012837;ACTIVO;;
1015235;ACTIVO;708118;
1016197;ACTIVO;;20127411
1016197;ACTIVO;;20127412
1016197;ACTIVO;;20127413
1016197;ACTIVO;;20138749
1016197;ACTIVO;;20138750
1016197;ACTIVO;;20138751
1016197;ACTIVO;;20138752
1016197;ACTIVO;;20138753
1016197;ACTIVO;;20138754
1016197;ACTIVO;;20138755
1016197;ACTIVO;;20161618
1020690;CERRADO;1020688;20528095
1020692;ACTIVO;1020688;
1021533;ACTIVO;552187;20829676
1021533;ACTIVO;552187;20829677
1022730;ACTIVO;674148;
1025736;ACTIVO;18143;
1025737;ACTIVO;18143;
102799;ACTIVO;;
1031449;ACTIVO;939913;20067320
1032050;ACTIVO;;1108093
1032050;ACTIVO;;20373938
1034215;ACTIVO;542751;
1035012;ACTIVO;;
1035013;ACTIVO;;20409991
1035013;ACTIVO;;20422969
1035013;ACTIVO;;20664241
1035013;ACTIVO;;20670472
1035013;ACTIVO;;20677080
1035013;ACTIVO;;20754150
1036049;ACTIVO;;1043513
1036112;ACTIVO;486310;20772669
1036112;ACTIVO;486310;20772670
1036112;ACTIVO;486310;20772671
1036112;ACTIVO;486310;20772672
1037472;ACTIVO;103474, 795879, 795880, 795881, 795882, 795883;1037473
1037472;ACTIVO;103474, 795879, 795880, 795881, 795882, 795883;1037474
1037472;ACTIVO;103474, 795879, 795880, 795881, 795882, 795883;1037475
1037473;ACTIVO;1037472;
1037474;ACTIVO;1037472;
1037730;ACTIVO;451222;
1037824;ACTIVO;629360;
1038884;ACTIVO;577251;
1038988;ACTIVO;640530;
1038989;ACTIVO;75260;20699515
1038989;ACTIVO;75260;20699516
1040301;ACTIVO;712659;
1044132;ACTIVO;156665;
1045164;ACTIVO;636841;
104525;ACTIVO;;
1045350;ACTIVO;657307, 1045349;
105017;ACTIVO;64350;
1050893;ACTIVO;;
1051143;ACTIVO;952807;
1051156;ACTIVO;;
1054652;ACTIVO;;
1055418;ACTIVO;861764;20436685
1057064;ACTIVO;629836;
1057316;ACTIVO;;20083558
1057316;ACTIVO;;20129130
1057316;ACTIVO;;20129131
1057316;ACTIVO;;20215391
1057316;ACTIVO;;20215449
1057316;ACTIVO;;20215452
1057316;ACTIVO;;20215454
1057316;ACTIVO;;20235900
1059836;ACTIVO;22062;
105992;ACTIVO;;20509339
1060290;ACTIVO;590976;
1060505;ACTIVO;;1197336
1060505;ACTIVO;;20140631
1060505;ACTIVO;;20140642
1060505;ACTIVO;;20141923
1060505;ACTIVO;;20476500
1060505;ACTIVO;;20855295
1061142;ACTIVO;992752;
1061143;ACTIVO;992752;
1061144;ACTIVO;992752;20243638
1061145;ACTIVO;992752;20031028
1062898;ACTIVO;902003;
1065746;ACTIVO;255863;20943362
1065746;ACTIVO;255863;20943363
1065746;ACTIVO;255863;20943364
1065746;ACTIVO;255863;20943365
1065746;ACTIVO;255863;20943366
1065746;ACTIVO;255863;20943367
1065746;ACTIVO;255863;20943368
1065746;ACTIVO;255863;20943369
1065746;ACTIVO;255863;20943370
1065746;ACTIVO;255863;20943371
1065746;ACTIVO;255863;20943372
1065746;ACTIVO;255863;20943373
1065746;ACTIVO;255863;20943374
1065746;ACTIVO;255863;20943375
1065746;ACTIVO;255863;20943376
1065746;ACTIVO;255863;20943377
1066132;ACTIVO;203423, 203424;20140942
1066132;ACTIVO;203423, 203424;20225875
1066132;ACTIVO;203423, 203424;20934060
1066132;ACTIVO;203423, 203424;20934061
1066132;ACTIVO;203423, 203424;20934644
1066132;ACTIVO;203423, 203424;20934645
1066132;ACTIVO;203423, 203424;20934646
1066132;ACTIVO;203423, 203424;20934647
1066132;ACTIVO;203423, 203424;20934648
1066132;ACTIVO;203423, 203424;20934649
1066132;ACTIVO;203423, 203424;20934650
1066132;ACTIVO;203423, 203424;20934651
1066132;ACTIVO;203423, 203424;20934652
1066132;ACTIVO;203423, 203424;20934653
1066132;ACTIVO;203423, 203424;20934654
1066132;ACTIVO;203423, 203424;20934655
1066132;ACTIVO;203423, 203424;20934656
1066132;ACTIVO;203423, 203424;20934657
1066132;ACTIVO;203423, 203424;20934658
1066132;ACTIVO;203423, 203424;20934659
1066132;ACTIVO;203423, 203424;20934660
1066132;ACTIVO;203423, 203424;20934661
1066132;ACTIVO;203423, 203424;20934662
1066132;ACTIVO;203423, 203424;20934663
1066132;ACTIVO;203423, 203424;20934664
1066132;ACTIVO;203423, 203424;20934665
1066132;ACTIVO;203423, 203424;20934666
1066132;ACTIVO;203423, 203424;20934667
1066132;ACTIVO;203423, 203424;20934668
1066132;ACTIVO;203423, 203424;20934669
1066132;ACTIVO;203423, 203424;20934670
1066132;ACTIVO;203423, 203424;20934671
1066132;ACTIVO;203423, 203424;20934672
1066132;ACTIVO;203423, 203424;20934673
1066132;ACTIVO;203423, 203424;20934674
1066132;ACTIVO;203423, 203424;20934675
1066132;ACTIVO;203423, 203424;20934676
1066132;ACTIVO;203423, 203424;20934677
1066132;ACTIVO;203423, 203424;20934678
1066132;ACTIVO;203423, 203424;20934679
1066132;ACTIVO;203423, 203424;20934680
1066132;ACTIVO;203423, 203424;20934681
1066132;ACTIVO;203423, 203424;20934682
1066132;ACTIVO;203423, 203424;20934683
1067380;ACTIVO;543618;
1067381;ACTIVO;543618;
1067382;ACTIVO;543618;
1069848;ACTIVO;902003;
1071421;ACTIVO;676805;
1072119;ACTIVO;586036;
1072289;ACTIVO;671375;
1072752;ACTIVO;590976;
1073895;ACTIVO;868122;
1074970;ACTIVO;;
1075479;ACTIVO;840054;
1075563;ACTIVO;;
1076171;ACTIVO;244863;
1076173;ACTIVO;244863;20312203
1076173;ACTIVO;244863;20320435
1077714;ACTIVO;671375;
1078183;ACTIVO;;
1078280;ACTIVO;;1078285
1078281;ACTIVO;;1078285
1078282;ACTIVO;;1078285
1078283;ACTIVO;;1078285
1078285;ACTIVO;1078280, 1078281, 1078282, 1078283, 1078284;1084408
1078285;ACTIVO;1078280, 1078281, 1078282, 1078283, 1078284;20038299
1079223;ACTIVO;305867;
1083023;ACTIVO;577251;
1083483;ACTIVO;;
1084408;ACTIVO;1078285;
1088139;ACTIVO;;20926745
1088139;ACTIVO;;20926746
1088139;ACTIVO;;20926747
1088139;ACTIVO;;20926748
1088139;ACTIVO;;20926749
1088139;ACTIVO;;20926750
1088139;ACTIVO;;20926751
1088139;ACTIVO;;20926752
1088139;ACTIVO;;20926753
1088139;ACTIVO;;20926754
1088139;ACTIVO;;20926755
1088139;ACTIVO;;20926756
1088139;ACTIVO;;20926757
1088139;ACTIVO;;20926758
1088139;ACTIVO;;20926759
1088139;ACTIVO;;20926760
1088139;ACTIVO;;20926761
108863;ACTIVO;;
1090253;ACTIVO;952807;
109034;ACTIVO;;
109035;ACTIVO;;
1091668;ACTIVO;636264, 851920;
1092404;ACTIVO;149016;
1093591;ACTIVO;1087693;
1093592;ACTIVO;1087693;
1093593;ACTIVO;1087693;
1093594;ACTIVO;1087693;20080985
109414;ACTIVO;;
1094520;ACTIVO;;
1095226;ACTIVO;;
1098470;ACTIVO;365719;
1099043;ACTIVO;911685;
1099044;ACTIVO;;
1100131;ACTIVO;;
1100168;ACTIVO;646551;20145833
1100168;ACTIVO;646551;20326864
1100168;ACTIVO;646551;20358513
1100168;ACTIVO;646551;20434158
1100170;ACTIVO;646551;20040265
1100174;ACTIVO;646551;20220379
1100174;ACTIVO;646551;20220380
1102196;ACTIVO;1035406;
1102197;ACTIVO;525014, 1102195;
11024;ACTIVO;;
1102947;ACTIVO;778379;
1107888;ACTIVO;952808;
1108093;ACTIVO;1032050;20366448
1108093;ACTIVO;1032050;20366449
1108093;ACTIVO;1032050;20366450
1108119;ACTIVO;863692;
1109248;ACTIVO;;20242698
1111431;ACTIVO;;
1112231;ACTIVO;;
1112232;ACTIVO;;20692326
1112232;ACTIVO;;20692327
1112232;ACTIVO;;20692328
1112232;ACTIVO;;20692329
1112365;ACTIVO;586036;
1112374;ACTIVO;135605;
1112376;ACTIVO;135605;
1112377;ACTIVO;135605;
1112378;ACTIVO;135605;
1112379;ACTIVO;135605;
1112380;ACTIVO;135605;
1116688;ACTIVO;;20501496
1116688;ACTIVO;;20501497
1116688;ACTIVO;;20501498
1116688;ACTIVO;;20501499
1116688;ACTIVO;;20501500
1118475;ACTIVO;;
1118826;ACTIVO;162031;
1122389;ACTIVO;104620;
1122796;ACTIVO;645353;
1122902;ACTIVO;;20460189
1122902;ACTIVO;;20460190
1122902;ACTIVO;;20460191
1122902;ACTIVO;;20460192
1123353;ACTIVO;370115;
1123354;CERRADO;370115;20946633
1123354;CERRADO;370115;20946634
1123354;CERRADO;370115;20946635
1123355;ACTIVO;370115;
112481;ACTIVO;;
1125284;ACTIVO;;
1126118;ACTIVO;69085;20208312
1126118;ACTIVO;69085;20256573
