no_matricula_inmobiliaria;estado_folio;matriculas_matriz;matriculas_derivadas
20954553;ACTIVO;20415469;
20954554;ACTIVO;20415469;
20954555;ACTIVO;20415469;
20954556;ACTIVO;20415469;
20954557;ACTIVO;20415469;
20954558;ACTIVO;20415469;
20954559;ACTIVO;20415469;
20954560;ACTIVO;20415469;
20954561;ACTIVO;20415469;
20954562;ACTIVO;20415469;
20954563;ACTIVO;20415469;
20954564;ACTIVO;20415469;
20954565;ACTIVO;20415469;
20954566;ACTIVO;20415469;
20954567;ACTIVO;20415469;
20954568;ACTIVO;20415469;
20954569;ACTIVO;20415469;
20954571;ACTIVO;20415469;
20954572;ACTIVO;20415469;
20954573;ACTIVO;20415469;
20954574;ACTIVO;20415469;
20954575;ACTIVO;20415469;
20954576;ACTIVO;20415469;
20954586;ACTIVO;412232;
20954587;ACTIVO;412232;
20954592;ACTIVO;20703526;
20954593;ACTIVO;20703526;
20954594;ACTIVO;20703526;
20954595;ACTIVO;20703526;
20954596;ACTIVO;20703526;
20954597;ACTIVO;20703526;
20954901;ACTIVO;20571352;
20954902;ACTIVO;20571352;
20954903;ACTIVO;20571352;
20954904;ACTIVO;20571352;
20954905;ACTIVO;20571352;
20954906;ACTIVO;20571352;
20954907;ACTIVO;20571352;
20954908;ACTIVO;20571352;
20954909;ACTIVO;20571352;
20954910;ACTIVO;20571352;
20954911;ACTIVO;20571352;
20955978;ACTIVO;20337286;
20955979;ACTIVO;20337286;
20955980;ACTIVO;20337286;
20955981;ACTIVO;20337286;
20955982;ACTIVO;20337286;
20955983;ACTIVO;20337286;
20955984;ACTIVO;20337286;
20955985;ACTIVO;20337286;
20956656;ACTIVO;20754145;
20956657;ACTIVO;20754145;
20956658;ACTIVO;20754145;
20956659;ACTIVO;20754145;
20956660;ACTIVO;20754145;
20956661;ACTIVO;20754145;
20956662;ACTIVO;20754145;
20956663;ACTIVO;20754145;
20956664;ACTIVO;20754145;
20956665;ACTIVO;20754145;
20956666;ACTIVO;20754145;
20956667;ACTIVO;20754145;
20956668;ACTIVO;20754145;
20956669;ACTIVO;20754145;
20956670;ACTIVO;20754145;
20956671;ACTIVO;20754145;
20956672;ACTIVO;20754145;
20956673;ACTIVO;20754145;
20956674;ACTIVO;20754145;
20956675;ACTIVO;20754145;
20956676;ACTIVO;20754145;
20956677;ACTIVO;20754145;
20956678;ACTIVO;20754145;
20956679;ACTIVO;20754145;
20956680;ACTIVO;20754145;
20956681;ACTIVO;20754145;
20957451;ACTIVO;20409328;
20957452;ACTIVO;20409328;
20957473;ACTIVO;20256747;
20957474;ACTIVO;20256747;
20957475;ACTIVO;20256747;
20957476;ACTIVO;20256747;
20957477;ACTIVO;20256747;
20957478;ACTIVO;20256747;
20957479;ACTIVO;20256747;
20957480;ACTIVO;20256747;
20957481;ACTIVO;20256747;
20957524;CERRADO;20537392;
20957525;CERRADO;20537392;
20957630;ACTIVO;20796443;
20957631;ACTIVO;20796443;
20958072;ACTIVO;20409280;
20958073;ACTIVO;20409280;
20958074;ACTIVO;20409280;
20958075;ACTIVO;20409280;
20958080;ACTIVO;20127411;
20958508;ACTIVO;20271827;
20958509;ACTIVO;20271827;
20958510;ACTIVO;20271827;
20958511;ACTIVO;20271827;
20958554;ACTIVO;20915395;
20958555;ACTIVO;20915395;
20958804;ACTIVO;545544;
20958805;ACTIVO;545544;
20958806;ACTIVO;545544;
