no_matricula_inmobiliaria;estado_folio;matriculas_matriz;matriculas_derivadas
20678908;ACTIVO;20582770;
20678909;ACTIVO;20582770;
20678910;ACTIVO;20582770;
20678911;ACTIVO;20582770;
20678912;ACTIVO;20582770;
20678914;ACTIVO;20582770;
20678916;ACTIVO;20582770;
20678917;ACTIVO;20582770;
20678918;ACTIVO;20582770;
20679618;ACTIVO;20475375;
20679619;ACTIVO;20475375;
20679623;ACTIVO;20466291;
20679624;ACTIVO;20466291;
20679625;ACTIVO;20638684;
20679626;ACTIVO;20638684;
20680161;ACTIVO;20203016;20929115
20680161;ACTIVO;20203016;20929116
20680161;ACTIVO;20203016;20929117
20680161;ACTIVO;20203016;20929118
20680161;ACTIVO;20203016;20929119
20680162;ACTIVO;20203016;
20681038;ACTIVO;20498914;
20681394;ACTIVO;20534463;
20681520;ACTIVO;20358417;20895358
20681520;ACTIVO;20358417;20895359
20681521;ACTIVO;20358417;
20681523;ACTIVO;20614556;
20681524;ACTIVO;20614556;
20681525;ACTIVO;20614556;
20681526;ACTIVO;20614556;
20681527;ACTIVO;20614556;
20681528;ACTIVO;20614556;
20681529;ACTIVO;20614556;
20681530;ACTIVO;20614556;
20681531;ACTIVO;20614556;
20681532;ACTIVO;20614556;
20681533;ACTIVO;20614556;
20681534;ACTIVO;20614556;
20681535;ACTIVO;20614556;
20681593;ACTIVO;20101032;
20681594;ACTIVO;20101032;
20682180;ACTIVO;20349069;
20682181;ACTIVO;20349069;
20682182;ACTIVO;20349069;
20682183;ACTIVO;20349069;
20682184;ACTIVO;20349069;
20682185;ACTIVO;20349069;
20682381;ACTIVO;20333122;
20683086;ACTIVO;20346682;
20683087;ACTIVO;20346682;
20683243;ACTIVO;20541554;
20683244;ACTIVO;20541554;
20683245;ACTIVO;20541556;
20683246;ACTIVO;20541556;
20683430;ACTIVO;20651619;
20683431;ACTIVO;20651619;
20683432;ACTIVO;20651619;
20683433;ACTIVO;20651619;
20683434;ACTIVO;20651619;
20683435;ACTIVO;20651619;
20683436;ACTIVO;20651619;
20683437;ACTIVO;20651619;
20683438;ACTIVO;20651619;
20683439;ACTIVO;20651619;
20683440;ACTIVO;20651619;
20683441;ACTIVO;20651619;
20683442;ACTIVO;20651619;
20683443;ACTIVO;20651619;
20683444;ACTIVO;20651619;
20683445;ACTIVO;20651619;
20683446;ACTIVO;20651619;
20683447;ACTIVO;20651619;
20683448;ACTIVO;20651619;
20683449;ACTIVO;20651619;
20683450;ACTIVO;20651619;
20683451;ACTIVO;20651619;
20683452;ACTIVO;20651619;
20683453;ACTIVO;20651619;
20683454;ACTIVO;20651619;
20683455;ACTIVO;20651619;
20683456;ACTIVO;20651619;
20683457;ACTIVO;20651619;
20683458;ACTIVO;20651619;
20683459;ACTIVO;20651619;
20683460;ACTIVO;20651619;
20683461;ACTIVO;20651619;
20683519;ACTIVO;20266855;
