no_matricula_inmobiliaria;estado_folio;matriculas_matriz;matriculas_derivadas
20420859;ACTIVO;20412327;
20421992;ACTIVO;20203470;
20421993;ACTIVO;20203470;
20421994;ACTIVO;20203470;
20421995;ACTIVO;20203470;
20421996;ACTIVO;20203470;
20421997;ACTIVO;20203470;
20421998;ACTIVO;20203470;
20422034;ACTIVO;364953;20947058
20422034;ACTIVO;364953;20947059
20422034;ACTIVO;364953;20947060
20422034;ACTIVO;364953;20947061
20422034;ACTIVO;364953;20960862
20422034;ACTIVO;364953;20960863
20422034;ACTIVO;364953;20960864
20422034;ACTIVO;364953;20960865
20422034;ACTIVO;364953;20960866
20422040;ACTIVO;20140631;
20422041;ACTIVO;20140631;
20422397;ACTIVO;20412327;
20422400;ACTIVO;20412327;20449167
20422400;ACTIVO;20412327;20904634
20422400;ACTIVO;20412327;20904635
20422400;ACTIVO;20412327;20904636
20422400;ACTIVO;20412327;20904637
20422400;ACTIVO;20412327;20904638
20422400;ACTIVO;20412327;20904639
20422401;ACTIVO;20412327;20536999
20422402;ACTIVO;20412327;
20422403;ACTIVO;20412327;
20422405;ACTIVO;20412327;
20422427;ACTIVO;566954;20427276
20422427;ACTIVO;566954;20427277
20422427;ACTIVO;566954;20427278
20422427;ACTIVO;566954;20427279
20422427;ACTIVO;566954;20427362
20422608;ACTIVO;20365039, 20365044, 20365045, 20365046, 20365047, 20365048, 20365049, 20365050, 20365051, 20365052, 20365053, 20365054, 20365055;20423312
20422608;ACTIVO;20365039, 20365044, 20365045, 20365046, 20365047, 20365048, 20365049, 20365050, 20365051, 20365052, 20365053, 20365054, 20365055;20423313
20422608;ACTIVO;20365039, 20365044, 20365045, 20365046, 20365047, 20365048, 20365049, 20365050, 20365051, 20365052, 20365053, 20365054, 20365055;20423314
20422608;ACTIVO;20365039, 20365044, 20365045, 20365046, 20365047, 20365048, 20365049, 20365050, 20365051, 20365052, 20365053, 20365054, 20365055;20423315
20422608;ACTIVO;20365039, 20365044, 20365045, 20365046, 20365047, 20365048, 20365049, 20365050, 20365051, 20365052, 20365053, 20365054, 20365055;20423316
20422608;ACTIVO;20365039, 20365044, 20365045, 20365046, 20365047, 20365048, 20365049, 20365050, 20365051, 20365052, 20365053, 20365054, 20365055;20423317
20422608;ACTIVO;20365039, 20365044, 20365045, 20365046, 20365047, 20365048, 20365049, 20365050, 20365051, 20365052, 20365053, 20365054, 20365055;20423318
20422608;ACTIVO;20365039, 20365044, 20365045, 20365046, 20365047, 20365048, 20365049, 20365050, 20365051, 20365052, 20365053, 20365054, 20365055;20423319
20422608;ACTIVO;20365039, 20365044, 20365045, 20365046, 20365047, 20365048, 20365049, 20365050, 20365051, 20365052, 20365053, 20365054, 20365055;20423320
20422608;ACTIVO;20365039, 20365044, 20365045, 20365046, 20365047, 20365048, 20365049, 20365050, 20365051, 20365052, 20365053, 20365054, 20365055;20423321
20422608;ACTIVO;20365039, 20365044, 20365045, 20365046, 20365047, 20365048, 20365049, 20365050, 20365051, 20365052, 20365053, 20365054, 20365055;20423322
20422608;ACTIVO;20365039, 20365044, 20365045, 20365046, 20365047, 20365048, 20365049, 20365050, 20365051, 20365052, 20365053, 20365054, 20365055;20423323
20422608;ACTIVO;20365039, 20365044, 20365045, 20365046, 20365047, 20365048, 20365049, 20365050, 20365051, 20365052, 20365053, 20365054, 20365055;20423324
20422608;ACTIVO;20365039, 20365044, 20365045, 20365046, 20365047, 20365048, 20365049, 20365050, 20365051, 20365052, 20365053, 20365054, 20365055;20423325
20422608;ACTIVO;20365039, 20365044, 20365045, 20365046, 20365047, 20365048, 20365049, 20365050, 20365051, 20365052, 20365053, 20365054, 20365055;20423326
20422608;ACTIVO;20365039, 20365044, 20365045, 20365046, 20365047, 20365048, 20365049, 20365050, 20365051, 20365052, 20365053, 20365054, 20365055;20423327
20422608;ACTIVO;20365039, 20365044, 20365045, 20365046, 20365047, 20365048, 20365049, 20365050, 20365051, 20365052, 20365053, 20365054, 20365055;20423328
20422608;ACTIVO;20365039, 20365044, 20365045, 20365046, 20365047, 20365048, 20365049, 20365050, 20365051, 20365052, 20365053, 20365054, 20365055;20423329
20422608;ACTIVO;20365039, 20365044, 20365045, 20365046, 20365047, 20365048, 20365049, 20365050, 20365051, 20365052, 20365053, 20365054, 20365055;20423330
20422608;ACTIVO;20365039, 20365044, 20365045, 20365046, 20365047, 20365048, 20365049, 20365050, 20365051, 20365052, 20365053, 20365054, 20365055;20423331
20422608;ACTIVO;20365039, 20365044, 20365045, 20365046, 20365047, 20365048, 20365049, 20365050, 20365051, 20365052, 20365053, 20365054, 20365055;20423332
20423312;ACTIVO;20422608;
20423313;ACTIVO;20422608;
20423314;ACTIVO;20422608;
20423315;ACTIVO;20422608;
20423316;ACTIVO;20422608;
20423317;ACTIVO;20422608;
20423318;ACTIVO;20422608;
20423319;ACTIVO;20422608;
20423320;ACTIVO;20422608;
20423321;ACTIVO;20422608;
20423322;ACTIVO;20422608;
20423323;ACTIVO;20422608;
20423324;ACTIVO;20422608;
20423325;ACTIVO;20422608;
20423326;ACTIVO;20422608;
20423327;ACTIVO;20422608;
20423328;ACTIVO;20422608;
20423329;ACTIVO;20422608;
20423330;ACTIVO;20422608;
20423331;ACTIVO;20422608;
20423332;ACTIVO;20422608;
20424708;ACTIVO;407634;20873249
20424708;ACTIVO;407634;20873250
20424708;ACTIVO;407634;20941685
20424708;ACTIVO;407634;20941686
20424708;ACTIVO;407634;20941687
20424709;ACTIVO;407634;20933401
20424709;ACTIVO;407634;20933402
20424709;ACTIVO;407634;20933403
20424709;ACTIVO;407634;20933404
20424709;ACTIVO;407634;20933405
20424710;ACTIVO;407634;
20424711;ACTIVO;407634;
20424713;ACTIVO;407634;
20424715;ACTIVO;407634;
20424716;ACTIVO;407634;20933943
20424716;ACTIVO;407634;20933944
20424717;ACTIVO;407634;
20424718;ACTIVO;407634;
20424719;ACTIVO;407634;
20424730;ACTIVO;674148;
20425020;ACTIVO;20354673;
20425330;ACTIVO;20330947;
20426597;ACTIVO;20423246;
20427276;ACTIVO;20422427;
20427277;ACTIVO;20422427;
20427279;ACTIVO;20422427;
20427668;CERRADO;;20934183
20427668;CERRADO;;20934184
20427668;CERRADO;;20934185
20427707;ACTIVO;251657;
20427778;ACTIVO;562969;
20427779;ACTIVO;562969;
20427965;ACTIVO;241806;20428650
20428230;ACTIVO;20325714;
20428231;ACTIVO;20325714;
20428232;ACTIVO;20325714;
20428233;ACTIVO;20325714;
20428234;ACTIVO;20325714;
20428235;ACTIVO;20325714;
20428237;ACTIVO;20325714;
20428238;ACTIVO;20325714;
20428239;ACTIVO;20325714;
20428652;ACTIVO;;
20428670;ACTIVO;20212837;
20429201;ACTIVO;20411839, 20411840;
20429292;ACTIVO;;
20430010;ACTIVO;20409980;
20430478;ACTIVO;20418859;
20430479;ACTIVO;20418859;
20430480;ACTIVO;20418859;
20431530;ACTIVO;20108964;
20431531;ACTIVO;20108964;
20431532;ACTIVO;20108964;
20431533;ACTIVO;20108964;
20432151;ACTIVO;;20944910
20432151;ACTIVO;;20944911
20432151;ACTIVO;;20944912
20432245;ACTIVO;566954;20517690
20432245;ACTIVO;566954;20517691
20432245;ACTIVO;566954;20517692
20432245;ACTIVO;566954;20517693
20432556;ACTIVO;20298059;
20432571;ACTIVO;532025;
20432962;ACTIVO;853298, 20351229;20495878
20432962;ACTIVO;853298, 20351229;20495879
20433195;ACTIVO;513765;
20433955;ACTIVO;20430002;
20433956;ACTIVO;20430002;
20433959;ACTIVO;1197515;
20433960;ACTIVO;1197515;20773849
20433960;ACTIVO;1197515;20773850
20433960;ACTIVO;1197515;20773851
20433960;ACTIVO;1197515;20773852
20434158;ACTIVO;1100168;
20436680;ACTIVO;20383197;
20436681;ACTIVO;20383197;
20437868;ACTIVO;712659;
20437869;ACTIVO;712659;
20437870;ACTIVO;712659;
20438792;ACTIVO;923677;
20439116;ACTIVO;1005407;
20439117;ACTIVO;1005407;
20441092;ACTIVO;;20720777
20441092;ACTIVO;;20720778
20441092;ACTIVO;;20720779
20441092;ACTIVO;;20720780
20441218;ACTIVO;20410086;
20441219;ACTIVO;20410086;
20441221;ACTIVO;20410086;
20441222;ACTIVO;20410086;
20441223;ACTIVO;20410086;
20441224;ACTIVO;20410086;
20441225;ACTIVO;20410086;
