no_matricula_inmobiliaria;estado_folio;matriculas_matriz;matriculas_derivadas
20835956;ACTIVO;20834471;
20835957;ACTIVO;20834471;
20835958;ACTIVO;20834471;
20835959;ACTIVO;20834471;
20835960;ACTIVO;20834471;
20835961;ACTIVO;20834471;
20835962;ACTIVO;20834471;
20835963;ACTIVO;20834471;
20835964;ACTIVO;20834471;
20835965;ACTIVO;20834471;
20835966;ACTIVO;20834471;
20835967;ACTIVO;20834471;
20835968;ACTIVO;20834471;
20835969;ACTIVO;20834471;
20835970;ACTIVO;20834471;
20835971;ACTIVO;20834471;
20835972;ACTIVO;20834471;
20835973;ACTIVO;20834471;
20835974;ACTIVO;20834471;
20835975;ACTIVO;20834471;
20835976;ACTIVO;20834471;
20835977;ACTIVO;20834471;
20835978;ACTIVO;20834471;
20835979;ACTIVO;20834471;
20835980;ACTIVO;20834471;
20835981;ACTIVO;20834471;
20835982;ACTIVO;20834471;
20835983;ACTIVO;20834471;
20835984;ACTIVO;20834471;
20835985;ACTIVO;20834471;
20835986;ACTIVO;20834471;
20835987;ACTIVO;20834471;
20835988;ACTIVO;20834471;
20835989;ACTIVO;20834471;
20835990;ACTIVO;20834471;
20835991;ACTIVO;20834471;
20835992;ACTIVO;20834471;
20835993;ACTIVO;20834471;
20835994;ACTIVO;20834471;
20835995;ACTIVO;20834471;
20835996;ACTIVO;20834471;
20835997;ACTIVO;20834471;
20835998;ACTIVO;20834471;
20835999;ACTIVO;20834471;
20836000;ACTIVO;20834471;
20836001;ACTIVO;20834471;
20836002;ACTIVO;20834471;
20836003;ACTIVO;20834471;
20836004;ACTIVO;20834471;
20836005;ACTIVO;20834471;
20836006;ACTIVO;20834471;
20836007;ACTIVO;20834471;
20836008;ACTIVO;20834471;
20836009;ACTIVO;20834471;
20836010;ACTIVO;20834471;
20836011;ACTIVO;20834471;
20836012;ACTIVO;20834471;
20836014;ACTIVO;20834471;
20836440;ACTIVO;20834471;
20837854;ACTIVO;20652280;
20837855;ACTIVO;20652280;
20837874;ACTIVO;20652279;
20837875;ACTIVO;20652279;
20838110;ACTIVO;20444940;
20838111;ACTIVO;20444940;
20838112;ACTIVO;20444940;
20840397;ACTIVO;20725309;
20840398;ACTIVO;20725309;
20840477;ACTIVO;20684639;20934102
20840889;ACTIVO;20701947;
20840890;ACTIVO;20701947;
20840891;ACTIVO;20701947;
20840892;ACTIVO;20701947;
20840893;ACTIVO;20701947;
20840894;ACTIVO;20701947;
20840895;ACTIVO;20701947;
20840896;ACTIVO;20701947;
20840897;ACTIVO;20701947;
20840898;ACTIVO;20701947;
20840899;ACTIVO;20701947;
20840900;ACTIVO;20701947;
20840901;ACTIVO;861762;
20840902;ACTIVO;861762;
20840994;ACTIVO;;
20841002;ACTIVO;445696;
20841003;ACTIVO;445696;
20841004;ACTIVO;445696;
